title,reviews
마닐라! 김 현우 팀장님 감사했습니다. (1),"특별한 guiding이었습니다.
첫날은 황제가 된 느낌이었습니다. 둘째날은 총리가 된 느낌이었고
이번 마닐라 여행에서 필리핀에 대한 인식이 많이 바뀌게 되었네요.
순수한 자연의 경관을 간직하고 있는 팍상한 폭포로 가는 여정이 인상적이었고,
따가이따이 따알호수 기대이상의 여행이었습니다.
여정중에서 내 자신이 그 곳 원주민들의 정말 힘들어하던 작은 손목들을 꽉~ 잡아주지 못했던 것이
못내 아쉬웠네요.
기회가 되면 필리핀을 다시 방문하고 싶어집니다."
3박4일 필리핀/마닐라 여행 좋았어요~^^ (1),"부부가 함께 떠난 이번 3박4일 여행은 날씨까지 좋아서 정말 즐거운 경험을 하고 왔어요.
그중에서도 따알분화구호수로 올라갈때 탄 조랑말 투어를 1시간 30분 동안 한 것과 팍상한 폭포로 물을 거슬러 카누를 타고 올라가는 레프팅은 사공들의 극한직업을 보아서 가슴이 뭉클했어요~ 
그외 선택옵션으로  88핫스프링온천투어, 마닐라 시내 마차투어도 새로운 경험이 되었답니다.
가까운 필리핀에서 좋은 여행을 잘 하고 왔어요~~"
마닐라 3박4일 여행후기,"마닐라 여행후기 20190208- 2019.02.11
교수로 재직하고 여행을 좋아하다보니 30년전에 우연찮게 노랑풍선여행사와 인연을 맺게되어 거의 동일한 여행사로 여행을 하게 되었다. 이번 필리핀여행까지 66개국을 여행하게 되었다. 역사적으로 피리핀이 한국을 도와준 계기와 도와준일, 도와준 건물, 현대차가 필리핀에 2번째로 많은 과정, 필리핀의 부강헀던과정, 부강했던것에서 부터 크게 발전하지 못했던 내용, 필리핀 여성들이 한국남성과 드라마를 좋아하는 과정등 한국에서 몰랐던 것들을 틈틈히 여행하는 버스내에서 설명해주는 것은 너무나 인상적이었다. 필리핀에서 유명한 따까이따까이 오르는 과정에서 말타고 올라가는과정은 정말 멋있었다. 산 상봉의 화산의 이중의 호수경치는 정말 말로 형용 할수 없었다. 내려올 때도 말을 타야되는데 어린아아들이 정말 말을 잘 다루어 놀라웠다. 내려오니까 엉덩이 꼬리뼈 부분이 쓰라렸다. 흔들리는 말안장에 상처가 난것이다. 나만 그런것이 아니었다. 3일 지난 지금까지 쓰라립다. 여행사에서 꼬리뼈를 받힐수 있는 수건같은 엉덩이받침대를 준비하라고 여행객들에게 미리 전달해주면 좋겠다. 다음 팍상한 폭포가기위해 보트를 다루는 일하는 아저씨들의 고생스러움이 정말 안쓰럽고 그냥보기 힘들었다, 올라가서 폭포물을 직접 몸으로 받는 쾌감은 이루 말 할 수 없었다. 내려와서 팁을 2불 주었더니 내패댕이 치더니 더 달라라고 헀다. 그래서 2불 더 주었다. 나중에 여행사애서 준 설명서에 10불 주라고 쓰여 있어서 그제사 미안함을 느꼈다, 한국의 남원사람이 운영한다는 노천탕도 참 잘 만들어 놨다. 하루 그 리조트에서 하루 쉬고 가고 싶을 정도로 잘 설계 해놓았다. 필리핀의 좀 색다른 점은 모든 건물의 출입구는 권총을 찬 경비원과 출입시에 보완검사를 실시하는 것이 보였다. 3일 묵은 소피텔은 룸과식당은 과분할 정도로 좋았다. 항상 소티텔에서 아침식사를 했는데 정말 놀라울 정도로 많아 무얼 먹어야 할 지 몰라 처음에는 신기하다고 생각하는 것을 골라 먹었으나 나중에는 결국 한식으로만 먹어야 속이 편 했다. 여행을 다니다 보면 가이드의 계획된 시간을 여행객이 조정하려고 드는 사람이 있다, 이번에도 그런사람이 있었지만 재치있게 시간조정을 가이드가 재치있게 진행하여 무난하게 공항까지 갈 수 있었다. 세계 여러곳을 다녀보면 공항의 수속방법도 참 여러종류가 있었다. 수고 많이 했습니다. 안용선가이드님 수고하셨습니다. 덕분에 즐거웠습니다."
필리핀 마닐라 신은수(shawn) 가이드님 덕분에 즐거운 여행이었습니다^^,"아이들 3명을 데리고 짧은 기간이었지만 즐거운 여행이었습니다.
패키지여행에서 가장 중요한 부분이 가이드님의 역할이라는 것을 다시 한번 느꼈습니다.
아이들을 동반한 점을 미리 고려해 카지노 방문을 대신한 다른 일정을 제안해 주신다거나,
팍상한폭포 카누, 따가이따이 조랑말 탈때도 우리가족을 위해 사진을 찍어 주시는 등의
세심한 모습이 인상 깊었습니다. 또한 이번 일정에 참여한 팀이 저희 가족 5명뿐이라 우리가족
전용차량에 전용 가이드와 함께하는 호사도 누렸습니다.
마닐라 여행 가실 때 신은수 가이드님을 만나신다면 즐거운 여행의 반은 성공하신 것로 생각하셔도 될 것 같습니다.
멋진 외모만큼 매너도 좋으시고 항상 손님을 배려해 주시는 모습이 좋았습니다."
"마닐라 투어, 최악. (1)","6끼 중 2끼 호텔 조식 1일차 아침(순두부) 점심(제육쌈밥) 저녁(삼겹살+제육), 2일차 아침(호텔조식) 점심(제육쌈밥) 저녁(불고기,제육), 3일차 아침(호텔조식) 점심(항의하고 항의해서 현지식) 필리핀 10년차 교민들도 아니고 2박3일 여행온 사람들한테 한식만 이렇게 먹이는게 말이 되는지 싶음. 마지막까지 한식(동태찌개) 먹을뻔. 2일차 팍상한폭포투어 끝난 뒤 옵션(온천)을 하지 않겠다고 말했지만 거의 어쩔수 없이 하게 되었고 최악이었음. SM몰 등 대형쇼핑몰 아예 들리지도 않음. 잡화점에서 사라고 했지만 잡화점 물품 종류도 거의 없고 원하는건 하나도 없었음. 필리핀쇼핑(헤어팩, 과자, 등등) 아예 못했고 다들 뭐 하나라도 사려고 편의점 들어감.(커미션을 위해 일부러 데려가지 않은것 같음. 계속해서 쇼핑에 대해 어필했고 걱정말라고 했지만 결국 잡화점.............)
여행 내내 거의 한국인들만 있었고, 패키지 특성상 어쩔 수 없다고 생각하지만 식사, 옵션, 쇼핑 세가지 면에서 별점1개도 아깝고 다시는 이런 패키지 가고싶지 않다는 생각이 들게 하는 여행이었음."
7월 28일부터 8월 1일까지 극성수기 마닐라 여행 이었습니다.,"7월 28일부터 8월 1일까지 극성수기 마닐라 여행 이었습니다.
16명 대가족이 부모님들과 어린 조카까지 같이하는 여행 이었습니다. 저희 가족은 매년 1년에 한번씩 온가족이 함께 여행을 떠납니다. 그래서 언제나 현지 가이드가 신경쓰이는 부분 입니다. 가이드를 잘 만나면 여행이 편안하고 안그러면 기간 내내 불편하지요.
결론적으로 이번 여행은 좋은 가이드를 만나서 여러가지로 편안 했습니다. 특히 몸이 불편하신 부모님을 잘 케어해 줘서 고마웠습니다. 가이드 해주신 박경수(Danny)소장께 감사드립니다. 또 같이 진행을 도와준 필리핀인 가이드도 고마웠습니다. 쇼핑강매나 옵션강매 같은 것도 없이 오히려 정보를 제공해 줘서 우리가 선택할 수 있도록 도와 줬고, 오히려 필리핀인 가이드가 부모님께 너무 잘 해줘서 고마운 마음에 가족들이 필리핀 보조 가이드가 찍은 사진들도 구매해줄 정도 였습니다.
그리고 필리핀 마닐라는 상당히 더운 지역이었는데 한국 보다 오히려 덜 더웠고 날씨도 적당히 비가와서 날씨운이 있었던 것 같습니다.  특히 팍상한 폭포는 전에도 가봤는데 이번에 제대로 감상한 것 같습니다. 이동시간이 너무 긴것이 유일한 단점 이었는데 가이드가 마지막에는 교통경찰까지 섭외해서 빠르게 이동할 수 있어서 좋았습니다.  다시한번 현지 가이드인 박경수 소장에게 감사합니다."
딸과 함께한 마닐라여행~^^,"딸과 함께한 마닐라여행은 최고의 여행지였습니다.
항상 네식구가 항상 여행할때마다 같이가곤 했는데
학교에서 학부모상담 하는날 선생님께서 엄마가 직장에서
늦게 온다는 아이의 말에 혼자있는 시간이 너무 괴롭고, 힘들고, 죽고싶다는 표현을 비밀노트를 보고 알았다며
저에게 넌지시 비밀노트를 보여주셨습니다. 비밀노트는 새학기때 부모님께 하고 싶은말을 거짓없이 표현하는
노트이고 부모님께 안보여주는 거니까 너희의 생각을 맘껏 표출하라고 해서 시작한 노트였다고 하더라구요.
그 노트를 펼쳐본 순간 눈에서 소나기처럼 한없이 흘러나왔습니다.
선생님께서는 막내딸이다보니 엄마의 애착형성이 아직 덜 형성 되었기에
일도 중요하겠지만 아이의 심정을 잘 헤아려서 아이에게 좋은 추억을 남길수 있게 하시면 좋을것 같다는 제안에
저는 딸과 둘만의 추억을 해외여행으로 정했습니다. 정하고 난뒤 단둘이의 여행이라 걱정근심이 많았었지만
배려가 많고 예의가 바른 가이드와 기사를 만나 유쾌하고 즐거운 여행이었습니다.
늦게나마 여행후기를 작성하게 되었지만 아담이라는 가이드는 정말이지 최고의 가이드였습니다.
지루한 설명이아닌 유머와 재치까지 겸비한 가이드여서 더욱더 재미있었고, 관광을 할때마다 시원한 물을 여행 끝나는 날까지
계속 챙겨주셨고, 망고와 술도 사비로 아낌없이 듬뿍 사서 우리팀들에게 맛있게 드세요~라며
고객을 한없이 웃음꽃이 필수 있도록해주셨습니다. 하루 하루 일정이 끝날때마다 헤어짐이 아쉬울정도로 잘해주셔서 너무 감사했습니다.
해외를 종종 가봤지만 다른 가이드는 마지막날 공항에서 간단하게 설명하고 가시는데
아담 가이드께서는 가시지 않고, 우리팀이 다 들어가실때까지 인사를 하시며 어떻게 티켓을 끊어야하는지를 자세히 설명해주셨습니다.
친절한 가이드와 기사 덕분에 딸과 단둘이 여행이 두렵고, 걱정근심했던 제가 훌훌 날려버릴수 있게 해주셔서 너무너무 감사했습니다.
사진 요청을 안해도 찍어주겠다며 한번이 아닌 여러장을 찍어주시면서 진심을 다하는 모습에 감동을 안할수가 없었습니다.
담번 여행엔 4식구가 가게되서 아담 가이드와 기사를 만났으면 하는 바램입니다.~
정말 거품없는 노랑풍선이었습니다.~ 아담가이드와 기사분께 격려과 박수를 보내고 싶습니다.
꼭 전해주세요~ 조금 늦은 여행후기였지만 감사함은 꼭 전달되어져야 한다고 생각해요~
항상 건강하시고, 좋은일들만 있길 바란다고 전해주세요~*^^*"
마닐라 여행 즐거웠어요.,"연휴 이용하여 3일 03시15분 비행기로 필리핀 마닐라여행 다녀왔습니다.
베네룩스 3국을 생각했는데 새벽 비행기 날짜 계산을 잘 못하는 바람에 급히 필리핀으로 돌렸네요.
새벽 비행기의 고단함과 낯선 일행들 사이에서 장현철 가이드, 미국이름 톰 때문에 즐거웠습니다.
박학다식하게 안내해 줘서 마닐라 곳곳을 돌아보고 왔습니다.
코코넛파이도 맛보게 하고, 열대과일 시식도 잘 했습니다.
아쉬운 점은 마닐라에 도착하자 일행을 두 팀으로 나눴는데 노랑풍선에서 출발전 미리 알려줬어야 한다는 생각입니다. 
묵었던 호텔 고 호텔에 물 것 있어요. 방역에 문제있어요."
☆★엄마랑 마닐라여행기☆★윤차장님 마이크 하트뿅뿅^^감사합니다,"매일매일바빠서 티비볼 시간도 없는데. 정말 하늘의 뜻이였던가.. 일찍 퇴근후 집에서 씻고 여기저기 채널을 돌리고 있는데
홈쇼핑에서 여행상품을 팔더라그요~ 그냥 아무생각없이 보는데.. 맙소사.. 마닐라가 거기에 대한한공 국적기를 타고.. 밥도 다주고...하는데..299000원이라는 것을 보고..저도 모르게 그냥.. 전화기를 들어 버렸답니다.
그렇게 저와 엄마와의 마닐라 여행기의 서막이 열리게 되었지요..
필리핀 요즘 계엄령이다 뭐다 위험하다고 말도 많고 하는데 .. 가따온 1인 으로써!! 마닐라는 전혀~ 위험하지 않다고~ 말하고 싶어요~
저희처럼 위험하지 않을까? 라고 혹시나 걱정하고 계신불들이 있다면... 가이드말 잘듣고~ 잘 따라다니면~ 절대 위험하지 않다는거!^^
  이제부터 여행이야기를 쓸까합니다.
첫째날은 정말이지 아침비행기라서 꼭두새벽부터 일어나서 준비하고 인천공항으로 가서
체크인하고~ 수화물 붙이고~ 미리주문해 놓은 화장품하나 받으니 벌써 탑승시간;;; 진짜 시간이 어떻게 지나간지모 모르게
벌써 엄마랑 저는 하늘을 날고 있더라그여 ㅎㅎ
  대한한공은 참좋아요^^ 기내식도 주고~ 음료수도 주고^^ 냠냠짭짭 하고 엄마랑 수다좀 나누다 보니..벌써 마닐라에 도착!
생각보다 마닐라에 내리면 더워서 숨이 턱 막히면 어쩌나.. 우기라는데 비가 많이 오면 어쩌나.걱정했는데
매우 덥지도 않고~ 비도 않오고 너무 좋았어요~ (더운 나라지만.. 긴팔..정말 필수 입니다..  에어콘이 빵빵해서 진짜 오들오들 ~)
  제일먼저 금강산도 식후경 이라고 밥을 먹고  시내관광을  시작했어요
리잘공원에서 윤차장님(한국인가이드)의 간략한 설명과 함께 인증샷도 찍고~우리 마이크(현지가이드)가 사진도 찍어주고~
마닐라대성당 내부도 관람하고 ~ 마차타고 시내한바퀴 돌면서  곳곳 에 내려서 인증샷도 찍그~ 너무 재밌었던 시내 관광 이엿어요
무엇보다~ 진심~ 윤차장님의 역사공부!! 강추!!! 방송나오셔도 될꺼 같아요 ^-^ 매우 귀에 쏙쏙 -3 모르고 보는것보다
윤차장님 설명 듣고 나서 보니깐  다 알곘더라그요~
그렇게 시내관광을 끝내고 COD (CITY OF DREAMS)라는 마닐라 중심에 자리잡고 잇는 복합리조트에서 카지노관광을 했어요
2천페소.. 칩으로 바꿔서 룰렛했는데..30초만에...  2천페소는 하늘나라로..가버렸다능 ㅠㅠ
그래도.. 카지노에 왔으니깐~^^ 즐겁게 즐겁게~
  ㅋㅏ지노에서 나와서 과일시장에 방문에서 한국에선 매일 얼렸다가 해동한 망고스틴만 먹을수 있는데 이곳은 생으로 먹을수 있으니
10달러 어치 정도사서~ 숙소로 왔네요~
꼭두새벽 부터 일어나서 비행기타고 하느라 너무 고단했던지
첫날은 숙소로 와서 씻고 바로 기절한거 같아요 ~^^
    둘째날은 따가이따기 화산을 가는일정이 있는 날로
9시까지 로비로 모여서 이동했습니다.
여기서 하나 TIP은 따가이따기 조랑말트래킹은 한국에서 8만원 결재하고 가는게 좋습니다.
저희는 맨처음에 동물학대로 생각해서 아예 안할 마음에 결재 안하고 갔는데요
막상 가보니.. 그 선택관광은 무조건 해야할 선택관광 이더라그요~ 안그러면 식당에서 그냥 기다리는 거예요~ 다른거 할게 없답니다.
배를타고 들어가서 조랑말을 타고 산꼭대기까지 올라가서 내려와서 다시 배를 타고 나오는 이모든 일정이 다 그8만원에 포함되어 있는 거랍니다 .그러니.. 가서 정말 식당에서 쉬시겠다는 분들 아니면... 그냥 한국에서 결재하고 가시는게 가장 저렴해요..
막상 배를 타고 넘어가서 조랑말을 타고 올라가면 .. 조랑말한테.. 매우 미안하긴해요..
두번은 못하겠더라그요... 모르곤 해도... 알고는 안할꺼 같은 선택관광 이였어요~^^
그래도 올라가서 천지안에 천지도 봤으니~^^ 이걸로 끝~~~
  따가이따이 관광을 끝내고 마닐라베이 나이트 투어를 하면서 산미구엘을 한병씩 마시는것이 일정표에나와있는 건데
저희는 보니파시오 에가서 산미구엘을 마셨습니다.
정말.. 이곳은.. 필리핀의 빈부격차를 잘 느낄수 있는 곳이기도 하면서..
한편으로는 ..나도..이런곳이면.. 들어와서 살고싶다..라고 느꼈던 곳이기도 합니다.
그리고~ 한시간정도 자유시간을 주셨는데..
글로벌 브랜드들은 거의다 들어와 있기 때문에 진짜 싸게 쇼핑 잘했어요 ㅋㅋ
진심 우리나라 대비40% 넘게 저렴한거 같더라그요~ 확실한건 면세보다 싸단거!!!!
이렇게 둘째날도... 안녕~~~~~
  셋째날은 팍상한폭포 가는 날로 그날도 9시까지 로비에서 모였답니다.
폭포가는 길에 필리핀의 명물이라는 부코파이 일명 코코넛 파이를 사주시는데
따끈따끈한게 우리나라 계란빵 처럼 부드럽고 맛있어요~
ㅇㅏ!!! 둘째날도 그렇고 셋째날도 그렇고~ 휴게소에 들려서 코코넛쥬스도 사쥬시는데 그것도 진짜 맛잇어요~
휴게소에 내려서 스타벅스나~ 이런곳에서 따로 음료 안사서 버스에 타셔도 되요~ 그  코코넛 쥬스가 진짜 맛잇거든요~^^
그렇게  먹으면서 윤차장님의 귀에 쏙쏙 역사이야기를 들으며 이동하니~ 시간도 진짜 잘가고~ 벌써 도착했더라그요
도착하자마자 점심을 먹고~ 카누를 타고 팍상한 폭포로 !!
우비도 입고~ 다들 안젖을라고 하시는데.. 어차피 몽땅!! 다 젖습니다~^-^ㅋㅋ
폭포체험은 재밌었어요~~폭포를 왔다갔다 하는데~ 헬멧이 부셔질꺼 같았지만~~ 넘나 재밌었어요 ㅎㅎ
폭포체험을 끝내고 바로 88온천으로(선택관광)가는데요
 노천온천으로~ 시설도 꽤크고~ 우리나라 과자도 팔고^^ 우리나라 노래도 불러주고~ㅎㅎ 괜찮았답니다.
온천을 하고~ 온천안에 있는 식당에서 저녁을 먹고 ~ 호텔로 다시 이동!!
 마지막 날은 비행 시간 때문에 오전7시까지 로비로 모여야 해서
이날도역시..씻고 바로 기절;; 했네요 ㅎㅎ
  드디어..집에 가는날.. 7시 로비에서 모여서 쇼핑센터 두군데를 방문합니다.
저희는 노니비누를 샀어요~ 워낙 유명하잖아요~ 노니비누^^
쇼핑센터를 후다닥 방문후~ 3박4일동안 저희를 위해 고생해준 마이크가 찍은 사진들은 다 출력해와서 주는데
여행 많이다녀봤지만~ 이렇게 인화해서 받은 사진은 처음인거 같아요~ 물론 돈주고 사는거지만~
마이크가 3박4일 따라다니면서 고생한거 생각하면~ 이정도 지출은 추억도 사고~ 좋은거 같아요 ^^
맨날 핸드폰속 사진들만 보다 이렇게 출력된걸 보니까... 유치하긴 하지만.. 좋았답니다 ㅎ
  공항에서 마지막 인사를 하는데..진짜.. 너무너무 아쉬웠어요 ㅠㅠ
이렇게 제가 여행사에 회원가입까지 하면서 까지 후기를 쓰는건 100% 윤차장님이랑 마이크가 너무 잘해줘서
지금 한번 쓴거 날라가서 열받았는데. 다시 꾹꾹참고 다시 쓸정도면..진짜.. 윤차장님이랑 마이크 때문이예요~
좋은추억~ 좋은 역사공부~ 좋으신분들과~ 좋은 여행 이였습니다.
다음에 또 마닐라가면~ 윤차장님이랑 마이크를  지정할수 있다면 그렇게 지정해서 가고 싶을 정도니깐요^^"
딸들과 마닐라패키지~~~굿입니다^^(마틴가이드님 감솨~~~),"5/20~23일까지 마닐라로 고3딸, 중1딸과패키지여행 다녀왔습니다
큰딸이 스트레스성위염으로 밥도 잘 못먹고 고생했지만 마틴가이드님이 약챙겨 주시고 이것저것 챙겨주셔서 잘 마칠수 있었습니다  
오는날 공항에 늦게 도착하고 또 제가 이티켓을 잊어버리는 바람에  엄청 당황했는데 공항안까지 들어오셔서(마닐라공항은 여권없이 못들어오더라고요) 비행기 탈수있도록 도와주셨습니다.
마틴가이드님은 역사에도 해박한지식이 많으셔서 여행하는 어린 제아이나 연세많으신 어르신들도 쉽게 알아 들을수 있도록 재미있게 설명해주셔서 귀에 쏙쏙 들어왔습니다.
아무튼 글솜씨가 없어서 더 어떻게 말씀들릴지 모르겠지만 이번 마닐라여행은 가격대비 굿~~입니다.
가족과 함께하기도 좋고요 친구들이나 모녀지간, 아님 부부끼리 가도 좋을것같아요
아쉬운것도 있어요....숙소....물론 가격 생각하면 이쯤이야 할수도 있는데 그래도 쫌........
참, 마틴가이드님이 보올패키지 구상중이라 하셨는데 거기도 좋을것 같아요. 진행하시게 되면 연락주세요 이번엔 친구들과 가보렵니다^^
 "
